회계연도,지역명,자치단체명,본청여부,당초예산,최종예산,증감액,증감률
2013,경기,경기오산시,N,334776003000,446400000000,111623997000,33.3429
2013,경기,경기용인시,N,1563204818000,1799300000000,236095182000,15.1033
2013,경기,경기의왕시,N,282041057000,331300000000,49258943000,17.4652
2013,경기,경기의정부시,N,706162902000,811200000000,105037098000,14.8743
2013,경기,경기이천시,N,548049847000,717200000000,169150153000,30.864
2013,경기,경기파주시,N,747780319000,918500000000,170719681000,22.8302
2013,경기,경기평택시,N,924657862000,1195600000000,270942138000,29.3019
2013,경기,경기포천시,N,453061609000,611700000000,158638391000,35.0148
2013,경기,경기하남시,N,454963279000,565500000000,110536721000,24.2957
2013,경기,경기화성시,N,1209087094000,1402000000000,192912906000,15.9553
2013,경남,경남거제시,N,525082638000,612000000000,86917362000,16.5531
2013,경남,경남거창군,N,408157739000,501400000000,93242261000,22.8447
2013,경남,경남고성군,N,326621332000,379200000000,52578668000,16.0977
2013,경남,경남김해시,N,1064936805000,1164500000000,99563195000,9.3492
2013,경남,경남남해군,N,326149878000,353000000000,26850122000,8.2324
2013,경남,경남밀양시,N,538678821000,588100000000,49421179000,9.1745
2013,경남,경남본청,Y,6555036293000,7696900000000,1141863707000,17.4196
2013,경남,경남사천시,N,458215316000,481300000000,23084684000,5.038
2013,경남,경남산청군,N,322079184000,357600000000,35520816000,11.0286
2013,경남,경남양산시,N,655800213000,792600000000,136799787000,20.86
2013,경남,경남의령군,N,325554560000,365100000000,39545440000,12.1471
2013,경남,경남진주시,N,1005223852000,1158400000000,153176148000,15.238
2013,경남,경남창녕군,N,387660516000,413100000000,25439484000,6.5623
2013,경남,경남창원시,N,2478206483000,2730700000000,252493517000,10.1886
2013,경남,경남통영시,N,431832092000,508300000000,76467908000,17.7078
2013,경남,경남하동군,N,337869700000,378200000000,40330300000,11.9366
2013,경남,경남함안군,N,346072868000,350800000000,4727132000,1.3659
2013,경남,경남함양군,N,327616306000,378300000000,50683694000,15.4704
2013,경남,경남합천군,N,392200885000,460500000000,68299115000,17.4143
2013,경북,경북경산시,N,555912820000,667100000000,111187180000,20.0008
2013,경북,경북경주시,N,1047237866000,1200800000000,153562134000,14.6635
2013,경북,경북고령군,N,245855202000,288900000000,43044798000,17.5082
2013,경북,경북구미시,N,1062937893000,1183700000000,120762107000,11.3612
2013,경북,경북군위군,N,228291909000,270800000000,42508091000,18.6201
2013,경북,경북김천시,N,588099679000,679100000000,91000321000,15.4736
2013,경북,경북문경시,N,447504747000,494300000000,46795253000,10.4569
2013,경북,경북본청,Y,7068818092000,7641100000000,572281908000,8.0959
2013,경북,경북봉화군,N,302293791000,333700000000,31406209000,10.3893
2013,경북,경북상주시,N,629111357000,677100000000,47988643000,7.628
2013,경북,경북성주군,N,303559879000,365600000000,62040121000,20.4375
2013,경북,경북안동시,N,762890000000,895100000000,132210000000,17.3302
2013,경북,경북영덕군,N,315064909000,331800000000,16735091000,5.3116
2013,경북,경북영양군,N,216764119000,261900000000,45135881000,20.8226
2013,경북,경북영주시,N,521843418000,582000000000,60156582000,11.5277
2013,경북,경북영천시,N,596048148000,660800000000,64751852000,10.8635
2013,경북,경북예천군,N,321144573000,355200000000,34055427000,10.6044
2013,경북,경북울릉군,N,142336096000,159300000000,16963904000,11.9182
2013,경북,경북울진군,N,458208557000,557500000000,99291443000,21.6695
2013,경북,경북의성군,N,417105359000,487900000000,70794641000,16.9728
2013,경북,경북청도군,N,305414808000,349500000000,44085192000,14.4345
2013,경북,경북청송군,N,252579112000,305300000000,52720888000,20.873
2013,경북,경북칠곡군,N,401377180000,461400000000,60022820000,14.9542
2013,경북,경북포항시,N,1261929668000,1367800000000,105870332000,8.3896
2013,광주,광주광산구,N,362689635000,435700000000,73010365000,20.1303
2013,광주,광주남구,N,217736387000,278700000000,60963613000,27.9988
2013,광주,광주동구,N,162475774000,223100000000,60624226000,37.3128
2013,광주,광주본청,Y,3495638850000,3978700000000,483061150000,13.819
2013,광주,광주북구,N,374326643000,455100000000,80773357000,21.5783
2013,광주,광주서구,N,267229429000,333600000000,66370571000,24.8366
2013,대구,대구남구,N,184985163000,209300000000,24314837000,13.1442
2013,대구,대구달서구,N,421132268000,477000000000,55867732000,13.2661
2013,대구,대구달성군,N,416196397000,483800000000,67603603000,16.2432
2013,대구,대구동구,N,335953000000,392600000000,56647000000,16.8616
2013,대구,대구본청,Y,6061163228000,6887700000000,826536772000,13.6366
2013,대구,대구북구,N,369280864000,409500000000,40219136000,10.8912
2013,대구,대구서구,N,203266658000,221700000000,18433342000,9.0686
2013,대구,대구수성구,N,356385469000,402000000000,45614531000,12.7992
2013,대구,대구중구,N,144334563000,160300000000,15965437000,11.0614
2013,대전,대전대덕구,N,243679976000,292400000000,48720024000,19.9934
2013,대전,대전동구,N,306111919000,348300000000,42188081000,13.7819
2013,대전,대전본청,Y,3706749120000,4000300000000,293550880000,7.9194
2013,대전,대전서구,N,372250960000,487300000000,115049040000,30.9063
2013,대전,대전유성구,N,309284112000,384600000000,75315888000,24.3517
2013,대전,대전중구,N,266601206000,323200000000,56598794000,21.2298
2013,부산,부산강서구,N,158924578000,220400000000,61475422000,38.6821
2013,부산,부산금정구,N,231209165000,290700000000,59490835000,25.7303
2013,부산,부산기장군,N,369694630000,416200000000,46505370000,12.5794
2013,부산,부산남구,N,197881045000,280300000000,82418955000,41.6508
2013,부산,부산동구,N,155665726000,194400000000,38734274000,24.883
2013,부산,부산동래구,N,238118061000,284500000000,46381939000,19.4785
2013,부산,부산본청,Y,8845982007000,10308500000000,1462517993000,16.5331
2013,부산,부산부산진구,N,311381383000,386200000000,74818617000,24.028
2013,부산,부산북구,N,251845815000,311600000000,59754185000,23.7265
2013,부산,부산사상구,N,235118613000,283900000000,48781387000,20.7476
2013,부산,부산사하구,N,283853901000,346000000000,62146099000,21.8937
2013,부산,부산서구,N,167444975000,196800000000,29355025000,17.5311
2013,부산,부산수영구,N,154458640000,183800000000,29341360000,18.9963
2013,부산,부산연제구,N,225749151000,261200000000,35450849000,15.7036
2013,부산,부산영도구,N,157156085000,206900000000,49743915000,31.6526
2013,부산,부산중구,N,104078632000,133100000000,29021368000,27.8841
2013,부산,부산해운대구,N,335290424000,412300000000,77009576000,22.968
2013,서울,서울강남구,N,785483202000,833300000000,47816798000,6.0876
2013,서울,서울강동구,N,392466541000,449200000000,56733459000,14.4556
2013,서울,서울강북구,N,364966784000,417500000000,52533216000,14.394
2013,서울,서울강서구,N,510240593000,569000000000,58759407000,11.516
2013,서울,서울관악구,N,397781064000,454900000000,57118936000,14.3594
2013,서울,서울광진구,N,320355348000,374900000000,54544652000,17.0263
2013,서울,서울구로구,N,407225694000,468900000000,61674306000,15.145
2013,서울,서울금천구,N,300828747000,328600000000,27771253000,9.2316
2013,서울,서울노원구,N,520504741000,595500000000,74995259000,14.4082
2013,서울,서울도봉구,N,316673122000,365000000000,48326878000,15.2608
2013,서울,서울동대문구,N,362738488000,407900000000,45161512000,12.4502
2013,서울,서울동작구,N,365195452000,414300000000,49104548000,13.4461
2013,서울,서울마포구,N,420629432000,490700000000,70070568000,16.6585
2013,서울,서울본청,Y,24636431859000,26034500000000,1398068141000,5.6748
2013,서울,서울서대문구,N,320550748000,359200000000,38649252000,12.0571
2013,서울,서울서초구,N,523648221000,595600000000,71951779000,13.7405
2013,서울,서울성동구,N,346015788000,407700000000,61684212000,17.827
2013,서울,서울성북구,N,420822370000,471500000000,50677630000,12.0425
2013,서울,서울송파구,N,474540072000,528400000000,53859928000,11.3499
2013,서울,서울양천구,N,416127159000,452300000000,36172841000,8.6927
2013,서울,서울영등포구,N,411445144000,486300000000,74854856000,18.1932
2013,서울,서울용산구,N,295163297000,325800000000,30636703000,10.3796
2013,서울,서울은평구,N,412777493000,459900000000,47122507000,11.416
2013,서울,서울종로구,N,356245601000,399600000000,43354399000,12.1698
2013,서울,서울중구,N,305576026000,366400000000,60823974000,19.9047
2013,서울,서울중랑구,N,363109541000,402000000000,38890459000,10.7104
2013,세종,세종본청,Y,617834632000,754900000000,137065368000,22.1848
2013,울산,울산남구,N,289186186000,362200000000,73013814000,25.248
2013,울산,울산동구,N,162740214000,216200000000,53459786000,32.8498
