회계연도,지역명,자치단체명,자치단체코드,본청여부,전년도현재액,증감액총계,조성액,사용액,당해년도현재액
2015,대구,대구본청,2700000,Y,508272980936,53748369800,276447120132,222698750332,562021350736
2015,대구,대구중구,2711000,N,5423075511,753198345,938160245,184961900,6176273856
2015,대구,대구동구,2712000,N,2118118478,198180375,870838448,672658073,2316298853
2015,대구,대구서구,2713000,N,4923675342,473880492,732891112,259010620,5397555834
2015,대구,대구남구,2714000,N,2321916609,507278375,800514225,293235850,2829194984
2015,대구,대구북구,2715000,N,2511192978,695154265,1260963105,565808840,3206347243
2015,대구,대구수성구,2716000,N,7782053347,591029608,1262142441,671112833,8373082955
2015,대구,대구달서구,2717000,N,5176935483,871230991,1364528341,493297350,6048166474
2015,대구,대구달성군,2771000,N,10668181872,-755507945,1466441415,2221949360,9912673927
2015,인천,인천본청,2800000,Y,502493874422,-62577830815,76449416594,139027247409,439916043607
2015,인천,인천중구,2811000,N,17904037581,945777683,1911985631,966207948,18849815264
2015,인천,인천동구,2812000,N,22601302508,-9742509546,3947227500,13689737046,12858792962
2015,인천,인천남구,2813000,N,9932900057,654814798,1273276612,618461814,10587714855
2015,인천,인천연수구,2814000,N,14790821252,912820000,1347899560,435079560,15703641252
2015,인천,인천남동구,2815000,N,31566925833,-1068489982,3793150398,4861640380,30498435851
2015,인천,인천부평구,2816000,N,26685880095,1673508892,2725281543,1051772651,28359388987
2015,인천,인천계양구,2817000,N,5769747362,1370666811,1897000381,526333570,7140414173
2015,인천,인천서구,2818000,N,22806568615,2196904581,2796452433,599547852,25003473196
2015,인천,인천강화군,2871000,N,4841540352,399198597,1296307627,897109030,5240738949
2015,인천,인천옹진군,2872000,N,3563512680,-53173835,338203495,391377330,3510338845
2015,광주,광주본청,2900000,Y,110446945596,17663347382,31508783622,13845436240,128110292978
2015,광주,광주동구,2911000,N,2422447871,113241459,300533632,187292173,2535689330
2015,광주,광주서구,2912000,N,7299267118,1529545239,2485666115,956120876,8828812357
2015,광주,광주남구,2913000,N,3246433569,-146276116,963661124,1109937240,3100157453
2015,광주,광주북구,2914000,N,10041867992,129483600,2707189070,2577705470,10171351592
2015,광주,광주광산구,2915000,N,6976911336,451851228,953573708,501722480,7428762564
2015,대전,대전본청,3000000,Y,514492449100,-151667600978,-95431387288,56236213690,362824848122
2015,대전,대전동구,3011000,N,10502053126,89707722,6879575492,6789867770,10591760848
2015,대전,대전중구,3012000,N,13926857798,-1990510810,825147920,2815658730,11936346988
2015,대전,대전서구,3013000,N,24272836930,-712092189,12200882226,12912974415,23560744741
2015,대전,대전유성구,3014000,N,29371373402,7686498736,11401351836,3714853100,37057872138
2015,대전,대전대덕구,3015000,N,16581989110,2899379320,3789527710,890148390,19481368430
2015,울산,울산본청,3100000,Y,239786378747,52991995624,97000625015,44008629391,292778374371
2015,울산,울산중구,3111000,N,5561230577,413442970,959699700,546256730,5974673547
2015,울산,울산남구,3112000,N,11190343989,894764009,1698430295,803666286,12085107998
2015,울산,울산동구,3113000,N,4218006946,519120075,1339051318,819931243,4737127021
2015,울산,울산북구,3114000,N,3869824043,799675723,1328799572,529123849,4669499766
2015,울산,울산울주군,3171000,N,11617772922,-2488287558,5290236032,7778523590,9129485364
2015,세종,세종본청,3200000,Y,29731164571,39153442931,43598949581,4445506650,68884607502
